User ID,Gender,Age,EstimatedSalary,Purchased
15000315,Male,46,122898,0
15000316,Female,49,84890,1
15000317,Female,49,81441,1
15000318,Female,58,46820,1
15000319,Male,51,95945,1
15000320,Male,31,33783,0
15000321,Male,22,140717,0
15000322,Male,44,129081,1
15000323,Male,57,31164,1
15000324,Female,59,121104,1
15000325,Female,27,30809,0
15000326,Female,28,112366,1
15000327,Female,19,26840,0
15000328,Female,24,80906,0
15000329,Female,41,103812,0
15000330,Male,41,113390,1
15000331,Female,33,71512,0
15000332,Female,31,139420,1
15000333,Female,53,119534,1
15000334,Female,37,43115,0
15000335,Male,52,105616,1
15000336,Female,59,113622,1
15000337,Male,31,60041,1
15000338,Female,26,114661,0
15000339,Female,58,136280,1
15000340,Female,45,125311,1
15000341,Male,30,117942,0
15000342,Female,44,100657,1
15000343,Female,40,51522,0
15000344,Male,56,122355,1
15000345,Male,29,64166,0
15000346,Female,60,86847,1
15000347,Female,58,57449,0
15000348,Female,25,57257,0
15000349,Female,25,36277,0
15000350,Male,40,144776,1
15000351,Female,19,34950,0
15000352,Male,30,26645,0
15000353,Female,36,141378,1
15000354,Male,59,89927,0
15000355,Female,60,74117,0
15000356,Male,24,114562,0
15000357,Female,56,66748,1
15000358,Male,21,32269,0
15000359,Male,50,113508,1
15000360,Female,54,38760,1
15000361,Male,56,89654,1
15000362,Female,27,143124,1
15000363,Female,56,141379,1
15000364,Female,22,63706,0
15000365,Male,40,120341,1
15000366,Male,38,97711,0
15000367,Male,31,79715,1
15000368,Female,18,33890,0
15000369,Female,51,65808,1
15000370,Female,32,103009,1
15000371,Female,46,148196,1
15000372,Male,35,15660,0
15000373,Male,34,111898,0
15000374,Male,56,129256,1
15000375,Male,22,143412,0
15000376,Male,49,72213,1
15000377,Male,50,30994,1
15000378,Male,34,51580,0
15000379,Male,29,129822,1
15000380,Female,18,133522,0
15000381,Female,58,101005,1
15000382,Female,58,31570,0
15000383,Male,28,31459,0
15000384,Male,19,79553,0
15000385,Male,23,94415,0
15000386,Male,20,19371,0
15000387,Female,53,107623,1
15000388,Female,56,88509,1
15000389,Male,24,16660,0
15000390,Male,50,27916,0
15000391,Male,25,76333,0
15000392,Male,33,112549,0
15000393,Female,43,126429,1
15000394,Female,48,73226,0
15000395,Female,55,54873,1
15000396,Female,19,145722,0
15000397,Female,26,76904,1
15000398,Female,30,57577,0
15000399,Female,31,74712,0
