Age,Attrition,Department,Gender,MonthlyIncome,TotalWorkingYears,YearsAtCompany
24,No,Sales,Female,5266,24,3
57,No,Research & Development,Male,12753,10,5
45,Yes,Research & Development,Male,3882,28,3
31,No,Research & Development,Male,14041,30,8
35,No,Sales,Male,19862,1,1
49,No,Sales,Male,2946,3,3
48,No,Research & Development,Female,13818,23,13
37,No,Research & Development,Female,19019,35,8
31,Yes,Research & Development,Male,17249,0,0
46,No,Research & Development,Male,9064,23,1
46,No,Research & Development,Male,3870,4,4
43,No,Human Resources,Female,18630,23,4
21,No,Sales,Female,18583,22,15
38,Yes,Research & Development,Female,12421,3,3
44,No,Sales,Male,19620,24,15
58,No,Research & Development,Male,2083,32,11
40,No,Research & Development,Male,13098,31,10
32,No,Sales,Male,2693,1,1
41,No,Sales,Male,18842,8,7
25,No,Research & Development,Female,14247,8,8
21,No,Human Resources,Male,18441,16,14
47,No,Research & Development,Female,12128,5,5
60,No,Research & Development,Female,3498,30,11
54,No,Research & Development,Female,2477,27,1
43,No,Research & Development,Male,8040,29,13
19,No,Research & Development,Female,15382,7,6
60,No,Sales,Male,4718,0,0
37,No,Sales,Male,17338,32,9
30,Yes,Research & Development,Male,6310,10,10
56,No,Research & Development,Male,10935,23,6
50,No,Sales,Female,5655,32,16
50,No,Research & Development,Female,10383,1,1
29,Yes,Research & Development,Female,10139,0,0
60,No,Research & Development,Male,2098,0,0
37,No,Research & Development,Male,12220,5,5
40,No,Research & Development,Female,16159,1,1
50,No,Research & Development,Male,18852,29,12
46,No,Research & Development,Female,7952,21,15
25,No,Research & Development,Female,17850,35,6
31,No,Research & Development,Female,17817,28,9
33,No,Research & Development,Female,19790,34,7
58,No,Sales,Male,8715,8,8
48,No,Sales,Male,17316,10,5
33,No,Research & Development,Male,12171,30,10
49,No,Research & Development,Male,3048,8,2
49,No,Sales,Male,6866,2,2
34,No,Sales,Female,14096,24,6
35,No,Research & Development,Male,4890,28,6
56,No,Sales,Female,9825,34,10
42,No,Research & Development,Female,15948,33,8
24,No,Research & Development,Female,4695,4,4
48,No,Sales,Male,10938,27,9
43,No,Research & Development,Female,5867,30,9
39,No,Sales,Male,11656,25,1
49,No,Sales,Male,6332,29,0
57,No,Sales,Male,19377,30,7
32,Yes,Sales,Male,3380,16,16
36,Yes,Sales,Male,19344,1,1
26,No,Sales,Male,16253,16,11
45,Yes,Sales,Female,17401,7,7
35,No,Sales,Male,17327,4,4
32,No,Research & Development,Male,5376,4,3
47,No,Research & Development,Female,18759,25,0
35,No,Research & Development,Female,12696,18,6
37,No,Research & Development,Female,19318,19,5
36,No,Research & Development,Male,17806,26,3
29,No,Research & Development,Female,12432,19,4
23,No,Research & Development,Female,8740,22,0
53,No,Sales,Male,4111,3,3
21,No,Sales,Male,3819,30,16
31,No,Sales,Female,9014,16,12
46,No,Sales,Male,16597,5,5
23,No,Research & Development,Male,11096,29,7
46,No,Research & Development,Female,10671,26,5
49,No,Sales,Female,6400,1,1
46,Yes,Research & Development,Female,12159,6,6
31,Yes,Research & Development,Female,13485,0,0
18,No,Sales,Female,19678,9,0
56,No,Research & Development,Male,15129,3,3
32,No,Sales,Male,12929,25,5
52,No,Research & Development,Female,18381,18,3
26,Yes,Sales,Male,9649,35,12
24,No,Research & Development,Male,18829,26,9
51,No,Research & Development,Female,8659,22,11
58,No,Human Resources,Female,4300,18,12
55,Yes,Research & Development,Male,9517,1,1
50,Yes,Research & Development,Male,4317,2,2
28,No,Research & Development,Female,4131,22,11
37,No,Sales,Female,12128,33,2
49,No,Sales,Male,6332,29,0
21,No,Sales,Male,5903,3,3
59,No,Research & Development,Male,2478,30,1
