House Size,Bedrooms,Age of House,House Price
2317,5,42,375633.31
3390,3,22,611418.68
3801,2,0,705398.76
2225,4,47,380894.38
1681,1,25,288173.87
4373,2,13,751152.16
2334,4,33,409693.08
1761,4,26,326444.76
2269,1,1,433879.71
548,3,37,151107.73
1707,2,20,303471.22
2562,3,34,496041.2
4173,5,44,744521.53
3452,1,30,629913.82
3625,5,33,653184.03
2679,3,12,489251.16
942,4,11,207049.49
2063,3,20,442287.07
4488,2,42,791185.71
676,4,26,134374.71
4016,4,17,739299.96
3237,1,38,547853.35
1635,4,42,295355.0
3611,4,45,658042.03
3847,2,14,677011.71
672,5,35,157811.52
925,4,29,189929.7
3162,2,22,563471.66
4496,1,19,785219.32
595,4,5,104410.66
3162,2,13,573671.45
1046,4,27,191379.61
3100,3,44,516554.02
2993,3,43,526441.78
861,1,9,164449.62
3222,4,33,564669.88
4088,1,4,729980.64
3953,3,33,667966.5
615,5,17,141611.13
1483,5,22,283612.52
1463,5,35,285778.25
2313,5,21,442387.29
1072,3,40,182082.14
3917,2,26,697975.65
3607,5,49,646850.05
3733,5,31,636371.07
1292,5,14,226868.17
558,4,38,123413.61
4142,1,20,711720.65
1655,3,26,304881.6
3125,3,6,564290.35
4137,5,5,757801.2
644,2,28,145232.99
521,2,9,90747.9
521,1,49,65530.57
1125,5,42,204583.52
706,4,35,155798.33
3779,1,36,672928.95
2923,3,29,512683.21
4420,3,3,736166.0
3705,3,19,624170.14
4352,5,24,765579.27
1454,1,45,238025.42
1651,2,10,296502.23
3897,1,24,673661.62
1479,2,17,266395.07
728,5,6,194346.79
3176,5,5,576399.65
3703,1,18,625063.64
4372,4,4,795217.51
4211,2,3,711957.16
980,1,17,187593.83
3588,2,10,636011.06
3884,1,27,666531.15
3292,3,0,627405.52
3779,5,15,675985.85
3851,3,22,723075.96
2286,4,48,408911.37
660,3,31,110259.67
